,Filepaths,Labels
236,preprocessed_images\African_Honey_Bee\15910085.jpg,African_Honey_Bee
237,preprocessed_images\African_Honey_Bee\15910087.jpg,African_Honey_Bee
238,preprocessed_images\African_Honey_Bee\15910089.jpg,African_Honey_Bee
239,preprocessed_images\African_Honey_Bee\15915430.jpg,African_Honey_Bee
240,preprocessed_images\African_Honey_Bee\15915432.jpg,African_Honey_Bee
241,preprocessed_images\African_Honey_Bee\15920300.jpg,African_Honey_Bee
242,preprocessed_images\African_Honey_Bee\15920311.jpg,African_Honey_Bee
243,preprocessed_images\African_Honey_Bee\15928744.jpg,African_Honey_Bee
244,preprocessed_images\African_Honey_Bee\15928747.jpg,African_Honey_Bee
245,preprocessed_images\African_Honey_Bee\15936052.jpg,African_Honey_Bee
246,preprocessed_images\African_Honey_Bee\15939655.jpg,African_Honey_Bee
247,preprocessed_images\African_Honey_Bee\15939656.jpg,African_Honey_Bee
248,preprocessed_images\African_Honey_Bee\15939659.jpg,African_Honey_Bee
249,preprocessed_images\African_Honey_Bee\15939661.jpg,African_Honey_Bee
250,preprocessed_images\African_Honey_Bee\15939665.jpg,African_Honey_Bee
251,preprocessed_images\African_Honey_Bee\15939668.jpg,African_Honey_Bee
252,preprocessed_images\African_Honey_Bee\15939671.jpg,African_Honey_Bee
253,preprocessed_images\African_Honey_Bee\15939676.jpg,African_Honey_Bee
254,preprocessed_images\African_Honey_Bee\15939677.jpg,African_Honey_Bee
255,preprocessed_images\African_Honey_Bee\15948581.jpg,African_Honey_Bee
256,preprocessed_images\African_Honey_Bee\15949557.jpg,African_Honey_Bee
257,preprocessed_images\African_Honey_Bee\159750254.jpg,African_Honey_Bee
258,preprocessed_images\African_Honey_Bee\15975848.jpg,African_Honey_Bee
259,preprocessed_images\African_Honey_Bee\15975849.jpg,African_Honey_Bee
260,preprocessed_images\African_Honey_Bee\15975872.jpg,African_Honey_Bee
261,preprocessed_images\African_Honey_Bee\15976021.jpg,African_Honey_Bee
262,preprocessed_images\African_Honey_Bee\15976024.jpg,African_Honey_Bee
263,preprocessed_images\African_Honey_Bee\15976025.jpg,African_Honey_Bee
264,preprocessed_images\African_Honey_Bee\15976038.jpg,African_Honey_Bee
265,preprocessed_images\African_Honey_Bee\15976039.jpg,African_Honey_Bee
266,preprocessed_images\African_Honey_Bee\15984523.jpg,African_Honey_Bee
267,preprocessed_images\African_Honey_Bee\16016232.jpg,African_Honey_Bee
268,preprocessed_images\African_Honey_Bee\16016460.jpg,African_Honey_Bee
269,preprocessed_images\African_Honey_Bee\16017037.jpg,African_Honey_Bee
270,preprocessed_images\African_Honey_Bee\16029791.jpg,African_Honey_Bee
271,preprocessed_images\African_Honey_Bee\16040606.jpg,African_Honey_Bee
272,preprocessed_images\African_Honey_Bee\16045635.jpg,African_Honey_Bee
273,preprocessed_images\African_Honey_Bee\16045637.jpg,African_Honey_Bee
274,preprocessed_images\African_Honey_Bee\160521850.jpg,African_Honey_Bee
275,preprocessed_images\African_Honey_Bee\160521872.jpg,African_Honey_Bee
276,preprocessed_images\African_Honey_Bee\16072844.jpg,African_Honey_Bee
277,preprocessed_images\African_Honey_Bee\161069111.jpg,African_Honey_Bee
278,preprocessed_images\African_Honey_Bee\161069139.jpg,African_Honey_Bee
279,preprocessed_images\African_Honey_Bee\161069153.jpg,African_Honey_Bee
280,preprocessed_images\African_Honey_Bee\161069169.jpg,African_Honey_Bee
281,preprocessed_images\African_Honey_Bee\16108000.jpg,African_Honey_Bee
282,preprocessed_images\African_Honey_Bee\16108001.jpg,African_Honey_Bee
283,preprocessed_images\African_Honey_Bee\16130757.jpg,African_Honey_Bee
284,preprocessed_images\African_Honey_Bee\16130762.jpg,African_Honey_Bee
285,preprocessed_images\African_Honey_Bee\16146199.jpg,African_Honey_Bee
286,preprocessed_images\African_Honey_Bee\161474114.jpg,African_Honey_Bee
287,preprocessed_images\African_Honey_Bee\161474138.jpg,African_Honey_Bee
288,preprocessed_images\African_Honey_Bee\161714637.jpg,African_Honey_Bee
289,preprocessed_images\African_Honey_Bee\16174680.jpg,African_Honey_Bee
290,preprocessed_images\African_Honey_Bee\16174682.jpg,African_Honey_Bee
291,preprocessed_images\African_Honey_Bee\16174683.jpg,African_Honey_Bee
292,preprocessed_images\African_Honey_Bee\16174684.jpg,African_Honey_Bee
293,preprocessed_images\African_Honey_Bee\16174687.jpg,African_Honey_Bee
294,preprocessed_images\African_Honey_Bee\16174688.jpg,African_Honey_Bee
295,preprocessed_images\African_Honey_Bee\16174689.jpg,African_Honey_Bee
296,preprocessed_images\African_Honey_Bee\16174690.jpg,African_Honey_Bee
297,preprocessed_images\African_Honey_Bee\16174691.jpg,African_Honey_Bee
298,preprocessed_images\African_Honey_Bee\164939995.jpg,African_Honey_Bee
299,preprocessed_images\African_Honey_Bee\164940237.jpg,African_Honey_Bee
300,preprocessed_images\African_Honey_Bee\165056037.jpg,African_Honey_Bee
301,preprocessed_images\African_Honey_Bee\165153178.jpg,African_Honey_Bee
302,preprocessed_images\African_Honey_Bee\165153230.jpg,African_Honey_Bee
303,preprocessed_images\African_Honey_Bee\165168628.jpg,African_Honey_Bee
304,preprocessed_images\African_Honey_Bee\165179881.jpg,African_Honey_Bee
305,preprocessed_images\African_Honey_Bee\165278656.jpg,African_Honey_Bee
306,preprocessed_images\African_Honey_Bee\165278676.jpg,African_Honey_Bee
307,preprocessed_images\African_Honey_Bee\165278698.jpg,African_Honey_Bee
308,preprocessed_images\African_Honey_Bee\165278718.jpg,African_Honey_Bee
309,preprocessed_images\African_Honey_Bee\165384011.jpg,African_Honey_Bee
310,preprocessed_images\African_Honey_Bee\165405517.jpg,African_Honey_Bee
311,preprocessed_images\African_Honey_Bee\165922815.jpg,African_Honey_Bee
312,preprocessed_images\African_Honey_Bee\165922822.jpg,African_Honey_Bee
313,preprocessed_images\African_Honey_Bee\166613506.jpg,African_Honey_Bee
314,preprocessed_images\African_Honey_Bee\16679332.jpg,African_Honey_Bee
315,preprocessed_images\African_Honey_Bee\166802105.jpg,African_Honey_Bee
316,preprocessed_images\African_Honey_Bee\166802107.jpg,African_Honey_Bee
317,preprocessed_images\African_Honey_Bee\166802151.jpg,African_Honey_Bee
318,preprocessed_images\African_Honey_Bee\166933476.jpg,African_Honey_Bee
319,preprocessed_images\African_Honey_Bee\167077562.jpg,African_Honey_Bee
320,preprocessed_images\African_Honey_Bee\167132536.jpg,African_Honey_Bee
321,preprocessed_images\African_Honey_Bee\16726388.jpg,African_Honey_Bee
322,preprocessed_images\African_Honey_Bee\16726418.jpg,African_Honey_Bee
323,preprocessed_images\African_Honey_Bee\168584809.jpg,African_Honey_Bee
324,preprocessed_images\African_Honey_Bee\168584832.jpg,African_Honey_Bee
325,preprocessed_images\African_Honey_Bee\170590703.jpg,African_Honey_Bee
326,preprocessed_images\African_Honey_Bee\171836628.jpg,African_Honey_Bee
327,preprocessed_images\African_Honey_Bee\172813564.jpg,African_Honey_Bee
328,preprocessed_images\African_Honey_Bee\172813596.jpg,African_Honey_Bee
329,preprocessed_images\African_Honey_Bee\172813904.jpg,African_Honey_Bee
330,preprocessed_images\African_Honey_Bee\172962104.jpg,African_Honey_Bee
331,preprocessed_images\African_Honey_Bee\172962117.jpg,African_Honey_Bee
332,preprocessed_images\African_Honey_Bee\173018189.jpg,African_Honey_Bee
333,preprocessed_images\African_Honey_Bee\173097431.jpg,African_Honey_Bee
334,preprocessed_images\African_Honey_Bee\173700533.jpg,African_Honey_Bee
335,preprocessed_images\African_Honey_Bee\17375784.jpg,African_Honey_Bee
336,preprocessed_images\African_Honey_Bee\174376661.jpg,African_Honey_Bee
337,preprocessed_images\African_Honey_Bee\174377114.jpg,African_Honey_Bee
338,preprocessed_images\African_Honey_Bee\174377130.jpg,African_Honey_Bee
339,preprocessed_images\African_Honey_Bee\174377141.jpg,African_Honey_Bee
340,preprocessed_images\African_Honey_Bee\174584149.jpg,African_Honey_Bee
341,preprocessed_images\African_Honey_Bee\174670753.jpg,African_Honey_Bee
342,preprocessed_images\African_Honey_Bee\174671873.jpg,African_Honey_Bee
343,preprocessed_images\African_Honey_Bee\174688859.jpg,African_Honey_Bee
344,preprocessed_images\African_Honey_Bee\175178380.jpg,African_Honey_Bee
345,preprocessed_images\African_Honey_Bee\175283679.jpg,African_Honey_Bee
346,preprocessed_images\African_Honey_Bee\177328120.jpg,African_Honey_Bee
347,preprocessed_images\African_Honey_Bee\179236287.jpg,African_Honey_Bee
348,preprocessed_images\African_Honey_Bee\180957309.jpg,African_Honey_Bee
349,preprocessed_images\African_Honey_Bee\182069495.jpg,African_Honey_Bee
350,preprocessed_images\African_Honey_Bee\184352421.jpg,African_Honey_Bee
351,preprocessed_images\African_Honey_Bee\184356127.jpg,African_Honey_Bee
352,preprocessed_images\African_Honey_Bee\184356142.jpg,African_Honey_Bee
353,preprocessed_images\African_Honey_Bee\184404393.jpg,African_Honey_Bee
354,preprocessed_images\African_Honey_Bee\184404410.jpg,African_Honey_Bee
355,preprocessed_images\African_Honey_Bee\184404425.jpg,African_Honey_Bee
356,preprocessed_images\African_Honey_Bee\184404442.jpg,African_Honey_Bee
357,preprocessed_images\African_Honey_Bee\185053088.jpg,African_Honey_Bee
358,preprocessed_images\African_Honey_Bee\185352697.jpg,African_Honey_Bee
359,preprocessed_images\African_Honey_Bee\185352707.jpg,African_Honey_Bee
360,preprocessed_images\African_Honey_Bee\185352718.jpg,African_Honey_Bee
361,preprocessed_images\African_Honey_Bee\185352726.jpg,African_Honey_Bee
362,preprocessed_images\African_Honey_Bee\185405792.jpg,African_Honey_Bee
363,preprocessed_images\African_Honey_Bee\1854254.jpg,African_Honey_Bee
364,preprocessed_images\African_Honey_Bee\185689502.jpg,African_Honey_Bee
365,preprocessed_images\African_Honey_Bee\185689525.jpg,African_Honey_Bee
366,preprocessed_images\African_Honey_Bee\187084995.jpg,African_Honey_Bee
